Artiste,Titre
Blinding Lights,The Weeknd
Butter,BTS
Montero (Call Me By Your Name),Lil Nas X
Save Your Tears,The Weeknd
Peaches,Justin Bieber ft. Daniel Caesar & Giveon
Levitating,Dua Lipa
Kiss Me More,Doja Cat ft. SZA
Good 4 U,Olivia Rodrigo
Deja Vu,Olivia Rodrigo
Happier Than Ever,Billie Eilish
Industry Baby,Lil Nas X & Jack Harlow
Permission to Dance,BTS
Stay,The Kid LAROI & Justin Bieber
Astronaut In The Ocean,Masked Wolf
Festin,Lous and the Yakuza
Cold Heart,Elton John & Dua Lipa
Need to Know,Doja Cat
Take My Breath,The Weeknd
trait d'union,Vianney
Love Nwantiti (Ah Ah Ah),CKay ft. Joeboy & Kuami Eugene
Eminem,Lose Yourself
